source_path,processed_path,filename,label,split,width,height,aspect_ratio,suffix
images/ArtDeco/bernardo-marques_civiliza-o-no-1-1928.jpg,data/processed/test/ArtDeco/bernardo-marques_civiliza-o-no-1-1928.jpg,bernardo-marques_civiliza-o-no-1-1928.jpg,ArtDeco,test,339,500,0.678,.jpg
images/ArtDeco/erte_alphabet-b.jpg,data/processed/test/ArtDeco/erte_alphabet-b.jpg,erte_alphabet-b.jpg,ArtDeco,test,500,375,1.3333333333333333,.jpg
images/ArtDeco/erte_gluttony.jpg,data/processed/test/ArtDeco/erte_gluttony.jpg,erte_gluttony.jpg,ArtDeco,test,370,500,0.74,.jpg
images/ArtDeco/erte_opium-mah-jongg.jpg,data/processed/test/ArtDeco/erte_opium-mah-jongg.jpg,erte_opium-mah-jongg.jpg,ArtDeco,test,365,500,0.73,.jpg
images/ArtDeco/erte_splendeur.jpg,data/processed/test/ArtDeco/erte_splendeur.jpg,erte_splendeur.jpg,ArtDeco,test,387,500,0.774,.jpg
images/ArtDeco/erte_spring-fashions.jpg,data/processed/test/ArtDeco/erte_spring-fashions.jpg,erte_spring-fashions.jpg,ArtDeco,test,357,500,0.714,.jpg
images/ArtDeco/john-vassos_abstract-sailboat.jpg,data/processed/test/ArtDeco/john-vassos_abstract-sailboat.jpg,john-vassos_abstract-sailboat.jpg,ArtDeco,test,500,500,1.0,.jpg
images/ArtDeco/john-vassos_illustration-for-oscar-wilde-s-salome-1927-7.jpg,data/processed/test/ArtDeco/john-vassos_illustration-for-oscar-wilde-s-salome-1927-7.jpg,john-vassos_illustration-for-oscar-wilde-s-salome-1927-7.jpg,ArtDeco,test,369,500,0.738,.jpg
images/ArtDeco/tamara-de-lempicka_the-communicant-1928.jpg,data/processed/test/ArtDeco/tamara-de-lempicka_the-communicant-1928.jpg,tamara-de-lempicka_the-communicant-1928.jpg,ArtDeco,test,306,500,0.612,.jpg
images/Cubism/albert-gleizes_untitled-2.jpg,data/processed/test/Cubism/albert-gleizes_untitled-2.jpg,albert-gleizes_untitled-2.jpg,Cubism,test,341,500,0.682,.jpg
images/Cubism/aleksandra-ekster_costume-for-romeo-and-juliet-1920.jpg,data/processed/test/Cubism/aleksandra-ekster_costume-for-romeo-and-juliet-1920.jpg,aleksandra-ekster_costume-for-romeo-and-juliet-1920.jpg,Cubism,test,352,500,0.704,.jpg
images/Cubism/aleksandra-ekster_genoa-1914.jpg,data/processed/test/Cubism/aleksandra-ekster_genoa-1914.jpg,aleksandra-ekster_genoa-1914.jpg,Cubism,test,364,500,0.728,.jpg
images/Cubism/aleksandra-ekster_women-s-costume-for-the-spanish-dance-1920.jpg,data/processed/test/Cubism/aleksandra-ekster_women-s-costume-for-the-spanish-dance-1920.jpg,aleksandra-ekster_women-s-costume-for-the-spanish-dance-1920.jpg,Cubism,test,335,500,0.67,.jpg
images/Cubism/alfred-manessier_david-1948.jpg,data/processed/test/Cubism/alfred-manessier_david-1948.jpg,alfred-manessier_david-1948.jpg,Cubism,test,397,500,0.794,.jpg
images/Cubism/andr-lhote_l-atelier-sur-la-terrasse-de-mirmande-1957.jpg,data/processed/test/Cubism/andr-lhote_l-atelier-sur-la-terrasse-de-mirmande-1957.jpg,andr-lhote_l-atelier-sur-la-terrasse-de-mirmande-1957.jpg,Cubism,test,500,400,1.25,.jpg
images/Cubism/andre-masson_card-trick.jpg,data/processed/test/Cubism/andre-masson_card-trick.jpg,andre-masson_card-trick.jpg,Cubism,test,280,420,0.6666666666666666,.jpg
images/Cubism/aristarkh-lentulov_bells-ivan-the-great-bell-1915.jpg,data/processed/test/Cubism/aristarkh-lentulov_bells-ivan-the-great-bell-1915.jpg,aristarkh-lentulov_bells-ivan-the-great-bell-1915.jpg,Cubism,test,500,442,1.1312217194570136,.jpg
images/Cubism/aristarkh-lentulov_moscow-1913.jpg,data/processed/test/Cubism/aristarkh-lentulov_moscow-1913.jpg,aristarkh-lentulov_moscow-1913.jpg,Cubism,test,500,472,1.0593220338983051,.jpg
images/Cubism/aristarkh-lentulov_nebozvon-skybell-1919.jpg,data/processed/test/Cubism/aristarkh-lentulov_nebozvon-skybell-1919.jpg,aristarkh-lentulov_nebozvon-skybell-1919.jpg,Cubism,test,500,372,1.3440860215053763,.jpg
images/Cubism/aristarkh-lentulov_portrait-of-artist-s-wife-and-daughter-1915.jpg,data/processed/test/Cubism/aristarkh-lentulov_portrait-of-artist-s-wife-and-daughter-1915.jpg,aristarkh-lentulov_portrait-of-artist-s-wife-and-daughter-1915.jpg,Cubism,test,434,500,0.868,.jpg
images/Cubism/ben-nicholson_aegean-1967.jpg,data/processed/test/Cubism/ben-nicholson_aegean-1967.jpg,ben-nicholson_aegean-1967.jpg,Cubism,test,500,349,1.4326647564469914,.jpg
images/Cubism/david-burliuk_ukrainians-1912.jpg,data/processed/test/Cubism/david-burliuk_ukrainians-1912.jpg,david-burliuk_ukrainians-1912.jpg,Cubism,test,500,339,1.4749262536873156,.jpg
images/Cubism/ernst-ludwig-kirchner_traber-team.jpg,data/processed/test/Cubism/ernst-ludwig-kirchner_traber-team.jpg,ernst-ludwig-kirchner_traber-team.jpg,Cubism,test,500,434,1.152073732718894,.jpg
images/Cubism/fernand-leger_composition-1920.jpg,data/processed/test/Cubism/fernand-leger_composition-1920.jpg,fernand-leger_composition-1920.jpg,Cubism,test,415,500,0.83,.jpg
images/Cubism/fernand-leger_contrasts-of-forms-1913.jpg,data/processed/test/Cubism/fernand-leger_contrasts-of-forms-1913.jpg,fernand-leger_contrasts-of-forms-1913.jpg,Cubism,test,500,419,1.1933174224343674,.jpg
images/Cubism/fernand-leger_the-rider-acrobat-juggler-1921.jpg,data/processed/test/Cubism/fernand-leger_the-rider-acrobat-juggler-1921.jpg,fernand-leger_the-rider-acrobat-juggler-1921.jpg,Cubism,test,293,500,0.586,.jpg
images/Cubism/gosta-adrian-nilsson_house-in-n-den-lund-1915.jpg,data/processed/test/Cubism/gosta-adrian-nilsson_house-in-n-den-lund-1915.jpg,gosta-adrian-nilsson_house-in-n-den-lund-1915.jpg,Cubism,test,455,500,0.91,.jpg
images/Cubism/jean-metzinger_landscape-1917.jpg,data/processed/test/Cubism/jean-metzinger_landscape-1917.jpg,jean-metzinger_landscape-1917.jpg,Cubism,test,500,403,1.2406947890818858,.jpg
images/Cubism/jean-metzinger_pitcher-hen-house-1923.jpg,data/processed/test/Cubism/jean-metzinger_pitcher-hen-house-1923.jpg,jean-metzinger_pitcher-hen-house-1923.jpg,Cubism,test,430,500,0.86,.jpg
images/Cubism/jean-metzinger_woman-with-a-fan-1913.jpg,data/processed/test/Cubism/jean-metzinger_woman-with-a-fan-1913.jpg,jean-metzinger_woman-with-a-fan-1913.jpg,Cubism,test,349,500,0.698,.jpg
images/Cubism/juan-gris_still-life-with-newspaper-1918.jpg,data/processed/test/Cubism/juan-gris_still-life-with-newspaper-1918.jpg,juan-gris_still-life-with-newspaper-1918.jpg,Cubism,test,500,399,1.2531328320802004,.jpg
images/Cubism/juan-gris_the-open-book-1925.jpg,data/processed/test/Cubism/juan-gris_the-open-book-1925.jpg,juan-gris_the-open-book-1925.jpg,Cubism,test,500,423,1.1820330969267139,.jpg
images/Cubism/juan-gris_the-sunblind-1914.jpg,data/processed/test/Cubism/juan-gris_the-sunblind-1914.jpg,juan-gris_the-sunblind-1914.jpg,Cubism,test,392,500,0.784,.jpg
images/Cubism/jury-annenkov_portrait-of-s-v-balabanov-1918.jpg,data/processed/test/Cubism/jury-annenkov_portrait-of-s-v-balabanov-1918.jpg,jury-annenkov_portrait-of-s-v-balabanov-1918.jpg,Cubism,test,500,357,1.4005602240896358,.jpg
images/Cubism/kazimir-malevich_bureau-and-room-1913.jpg,data/processed/test/Cubism/kazimir-malevich_bureau-and-room-1913.jpg,kazimir-malevich_bureau-and-room-1913.jpg,Cubism,test,499,500,0.998,.jpg
images/Cubism/kazimir-malevich_home-1913.jpg,data/processed/test/Cubism/kazimir-malevich_home-1913.jpg,kazimir-malevich_home-1913.jpg,Cubism,test,470,500,0.94,.jpg
images/Cubism/kazimir-malevich_lady-at-the-poster-column-1914.jpg,data/processed/test/Cubism/kazimir-malevich_lady-at-the-poster-column-1914.jpg,kazimir-malevich_lady-at-the-poster-column-1914.jpg,Cubism,test,450,500,0.9,.jpg
images/Cubism/kazimir-malevich_peasant-woman-1912.jpg,data/processed/test/Cubism/kazimir-malevich_peasant-woman-1912.jpg,kazimir-malevich_peasant-woman-1912.jpg,Cubism,test,480,500,0.96,.jpg
images/Cubism/kazimir-malevich_peasant-woman-carrying-buckets-with-water-1913.jpg,data/processed/test/Cubism/kazimir-malevich_peasant-woman-carrying-buckets-with-water-1913.jpg,kazimir-malevich_peasant-woman-carrying-buckets-with-water-1913.jpg,Cubism,test,500,455,1.098901098901099,.jpg
images/Cubism/kazimir-malevich_portrait-of-m-v-matyushin-1913.jpg,data/processed/test/Cubism/kazimir-malevich_portrait-of-m-v-matyushin-1913.jpg,kazimir-malevich_portrait-of-m-v-matyushin-1913.jpg,Cubism,test,492,500,0.984,.jpg
images/Cubism/kazimir-malevich_the-lady-at-the-piano-1913.jpg,data/processed/test/Cubism/kazimir-malevich_the-lady-at-the-piano-1913.jpg,kazimir-malevich_the-lady-at-the-piano-1913.jpg,Cubism,test,329,500,0.658,.jpg
