source_path,filename,label,width,height,aspect_ratio,suffix
images/ArtDeco/aleksandra-ekster_woman-with-fish-1934.jpg,aleksandra-ekster_woman-with-fish-1934.jpg,ArtDeco,389,500,0.778,.jpg
images/ArtDeco/bernardo-marques_antonio-ferro-mundo-novo-capa.jpg,bernardo-marques_antonio-ferro-mundo-novo-capa.jpg,ArtDeco,322,500,0.644,.jpg
images/ArtDeco/bernardo-marques_civiliza-o-no-1-1928.jpg,bernardo-marques_civiliza-o-no-1-1928.jpg,ArtDeco,339,500,0.678,.jpg
images/ArtDeco/bernardo-marques_civiliza-o.jpg,bernardo-marques_civiliza-o.jpg,ArtDeco,343,500,0.686,.jpg
images/ArtDeco/bernardo-marques_fernanda-de-castro-cidade-em-flor-capa-1924.jpg,bernardo-marques_fernanda-de-castro-cidade-em-flor-capa-1924.jpg,ArtDeco,336,500,0.672,.jpg
images/ArtDeco/bernardo-marques_sem-t-tulo-paisagem-do-mar-o.jpg,bernardo-marques_sem-t-tulo-paisagem-do-mar-o.jpg,ArtDeco,500,417,1.1990407673860912,.jpg
images/ArtDeco/carlos-saenz-de-tejada_sketch-for-decoration-of-carmen-antonia-merce-la-argentina-1927.jpg,carlos-saenz-de-tejada_sketch-for-decoration-of-carmen-antonia-merce-la-argentina-1927.jpg,ArtDeco,337,500,0.674,.jpg
images/ArtDeco/erte_alphabet-b.jpg,erte_alphabet-b.jpg,ArtDeco,500,375,1.3333333333333333,.jpg
images/ArtDeco/erte_autumn-song.jpg,erte_autumn-song.jpg,ArtDeco,406,500,0.812,.jpg
images/ArtDeco/erte_blossom-umbrella.jpg,erte_blossom-umbrella.jpg,ArtDeco,371,500,0.742,.jpg
images/ArtDeco/erte_bon-soir.jpg,erte_bon-soir.jpg,ArtDeco,355,500,0.71,.jpg
images/ArtDeco/erte_brown-boot.jpg,erte_brown-boot.jpg,ArtDeco,380,500,0.76,.jpg
images/ArtDeco/erte_ceres-the-planets.jpg,erte_ceres-the-planets.jpg,ArtDeco,346,500,0.692,.jpg
images/ArtDeco/erte_costume-design-2.jpg,erte_costume-design-2.jpg,ArtDeco,370,500,0.74,.jpg
images/ArtDeco/erte_costume-design-9.jpg,erte_costume-design-9.jpg,ArtDeco,296,500,0.592,.jpg
images/ArtDeco/erte_costume-for-casanova.jpg,erte_costume-for-casanova.jpg,ArtDeco,500,500,1.0,.jpg
images/ArtDeco/erte_ebony-1.jpg,erte_ebony-1.jpg,ArtDeco,405,500,0.81,.jpg
images/ArtDeco/erte_evening-creation.jpg,erte_evening-creation.jpg,ArtDeco,254,500,0.508,.jpg
images/ArtDeco/erte_gluttony.jpg,erte_gluttony.jpg,ArtDeco,370,500,0.74,.jpg
images/ArtDeco/erte_number-0.jpg,erte_number-0.jpg,ArtDeco,374,500,0.748,.jpg
images/ArtDeco/erte_number-8.jpg,erte_number-8.jpg,ArtDeco,373,500,0.746,.jpg
images/ArtDeco/erte_opium-mah-jongg.jpg,erte_opium-mah-jongg.jpg,ArtDeco,365,500,0.73,.jpg
images/ArtDeco/erte_splendeur.jpg,erte_splendeur.jpg,ArtDeco,387,500,0.774,.jpg
images/ArtDeco/erte_spring-fashions.jpg,erte_spring-fashions.jpg,ArtDeco,357,500,0.714,.jpg
images/ArtDeco/erte_stolen-kisses.jpg,erte_stolen-kisses.jpg,ArtDeco,395,500,0.79,.jpg
images/ArtDeco/erte_swept-away.jpg,erte_swept-away.jpg,ArtDeco,343,500,0.686,.jpg
images/ArtDeco/erte_the-aces-hearts.jpg,erte_the-aces-hearts.jpg,ArtDeco,369,500,0.738,.jpg
images/ArtDeco/erte_the-kiss.jpg,erte_the-kiss.jpg,ArtDeco,405,500,0.81,.jpg
images/ArtDeco/erte_the-mirror-1.jpg,erte_the-mirror-1.jpg,ArtDeco,387,500,0.774,.jpg
images/ArtDeco/erte_the-seasons-spring-1.jpg,erte_the-seasons-spring-1.jpg,ArtDeco,380,500,0.76,.jpg
images/ArtDeco/erte_the-seasons-summer-1.jpg,erte_the-seasons-summer-1.jpg,ArtDeco,389,500,0.778,.jpg
images/ArtDeco/erte_the-seven-deadly-sins-avarice.jpg,erte_the-seven-deadly-sins-avarice.jpg,ArtDeco,411,500,0.822,.jpg
images/ArtDeco/erte_the-seven-deadly-sins-pride.jpg,erte_the-seven-deadly-sins-pride.jpg,ArtDeco,391,500,0.782,.jpg
images/ArtDeco/erte_the-zodiac-leo.jpg,erte_the-zodiac-leo.jpg,ArtDeco,385,500,0.77,.jpg
images/ArtDeco/erte_top-hats.jpg,erte_top-hats.jpg,ArtDeco,381,500,0.762,.jpg
images/ArtDeco/erte_winter-resort-nice.jpg,erte_winter-resort-nice.jpg,ArtDeco,391,500,0.782,.jpg
images/ArtDeco/erte_winter-s-arrival.jpg,erte_winter-s-arrival.jpg,ArtDeco,353,500,0.706,.jpg
images/ArtDeco/jean-dupas_where-is-this-bower-beside-the-silver-thames-1930.jpg,jean-dupas_where-is-this-bower-beside-the-silver-thames-1930.jpg,ArtDeco,500,406,1.2315270935960592,.jpg
images/ArtDeco/john-vassos_abstract-design-1972.jpg,john-vassos_abstract-design-1972.jpg,ArtDeco,498,500,0.996,.jpg
images/ArtDeco/john-vassos_abstract-sailboat.jpg,john-vassos_abstract-sailboat.jpg,ArtDeco,500,500,1.0,.jpg
images/ArtDeco/john-vassos_illustration-for-oscar-wilde-s-salome-1927-2.jpg,john-vassos_illustration-for-oscar-wilde-s-salome-1927-2.jpg,ArtDeco,373,500,0.746,.jpg
images/ArtDeco/john-vassos_illustration-for-oscar-wilde-s-salome-1927-3.jpg,john-vassos_illustration-for-oscar-wilde-s-salome-1927-3.jpg,ArtDeco,377,500,0.754,.jpg
images/ArtDeco/john-vassos_illustration-for-oscar-wilde-s-salome-1927-7.jpg,john-vassos_illustration-for-oscar-wilde-s-salome-1927-7.jpg,ArtDeco,369,500,0.738,.jpg
images/ArtDeco/john-vassos_modern-abstract-1.jpg,john-vassos_modern-abstract-1.jpg,ArtDeco,500,500,1.0,.jpg
images/ArtDeco/john-vassos_modern-abstract.jpg,john-vassos_modern-abstract.jpg,ArtDeco,500,498,1.0040160642570282,.jpg
images/ArtDeco/john-vassos_untitled-1935-5.jpg,john-vassos_untitled-1935-5.jpg,ArtDeco,371,500,0.742,.jpg
images/ArtDeco/lawren-harris_ice-house-coldwell-lake-superior-1923.jpg,lawren-harris_ice-house-coldwell-lake-superior-1923.jpg,ArtDeco,500,414,1.2077294685990339,.jpg
images/ArtDeco/lawren-harris_lake-and-mountains-1928.jpg,lawren-harris_lake-and-mountains-1928.jpg,ArtDeco,445,355,1.2535211267605635,.jpg
images/ArtDeco/raphael-delorme_sc-ne-mythologique.jpg,raphael-delorme_sc-ne-mythologique.jpg,ArtDeco,500,366,1.366120218579235,.jpg
images/ArtDeco/raphael-delorme_the-dancer.jpg,raphael-delorme_the-dancer.jpg,ArtDeco,461,500,0.922,.jpg
images/ArtDeco/raphael-delorme_vitalit.jpg,raphael-delorme_vitalit.jpg,ArtDeco,256,500,0.512,.jpg
images/ArtDeco/rene-magritte_advertisment-for-norine-2.jpg,rene-magritte_advertisment-for-norine-2.jpg,ArtDeco,322,500,0.644,.jpg
images/ArtDeco/tamara-de-lempicka_bowl-of-grapes-1949.jpg,tamara-de-lempicka_bowl-of-grapes-1949.jpg,ArtDeco,361,361,1.0,.jpg
images/ArtDeco/tamara-de-lempicka_calla-lillies-1941.jpg,tamara-de-lempicka_calla-lillies-1941.jpg,ArtDeco,322,500,0.644,.jpg
images/ArtDeco/tamara-de-lempicka_portrait-of-the-duchess-of-la-salle-1925.jpg,tamara-de-lempicka_portrait-of-the-duchess-of-la-salle-1925.jpg,ArtDeco,292,500,0.584,.jpg
