split,path,label_idx,label
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/aleksandra-ekster_woman-with-fish-1934.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/bernardo-marques_civiliza-o.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/bernardo-marques_fernanda-de-castro-cidade-em-flor-capa-1924.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/bernardo-marques_sem-t-tulo-paisagem-do-mar-o.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/carlos-saenz-de-tejada_sketch-for-decoration-of-carmen-antonia-merce-la-argentina-1927.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_autumn-song.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_blossom-umbrella.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_brown-boot.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_ceres-the-planets.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_costume-design-2.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_costume-for-casanova.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_ebony-1.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_evening-creation.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_number-0.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_stolen-kisses.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_swept-away.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-aces-hearts.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-kiss.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-seasons-spring-1.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-seasons-summer-1.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-seven-deadly-sins-avarice.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-seven-deadly-sins-pride.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-zodiac-leo.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_top-hats.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_winter-s-arrival.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/jean-dupas_where-is-this-bower-beside-the-silver-thames-1930.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_illustration-for-oscar-wilde-s-salome-1927-2.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_illustration-for-oscar-wilde-s-salome-1927-3.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_modern-abstract-1.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_modern-abstract.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_untitled-1935-5.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/lawren-harris_ice-house-coldwell-lake-superior-1923.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/lawren-harris_lake-and-mountains-1928.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/raphael-delorme_sc-ne-mythologique.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/raphael-delorme_the-dancer.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/raphael-delorme_vitalit.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/tamara-de-lempicka_calla-lillies-1941.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/tamara-de-lempicka_portrait-of-the-marquis-d-afflito-1925.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/tamara-de-lempicka_still-life-with-grapes.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/tamara-de-lempicka_wide-brimmed-hat-1933.jpg,0,ArtDeco
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/zinaida-serebriakova_basket-of-apples-1934.jpg,0,ArtDeco
